Date,Exercise,Muscle Group,Sets,Reps,Weight,Duration,Note
11/26/22,Dumbbell Shrug,,3,10,40,,
11/26/22,Dumbbell Shrug,,4,10,40,,
11/26/22,MTS Row,,1,10,20,,
11/26/22,MTS Row,,2,10,30,,
11/26/22,MTS Row,,3,10,30,,
11/26/22,MTS Row,,4,10,40,,
11/26/22,MTS Row,,5,10,50,,
11/26/22,MTS Front Pulldown,,1,10,30,,
11/26/22,MTS Front Pulldown,,2,10,30,,
11/26/22,MTS Front Pulldown,,3,10,40,,
11/26/22,MTS Front Pulldown,,4,10,50,,
11/26/22,Ez Barbell Bicep Curl,,1,10,30,,
11/26/22,Ez Barbell Bicep Curl,,2,10,30,,
11/26/22,Ez Barbell Bicep Curl,,3,10,30,,
11/26/22,Bicep Curl,,1,10,10,,
11/26/22,Bicep Curl,,2,10,15,,
11/26/22,Bicep Curl,,3,10,20,,
11/26/22,Hammer Curl,,1,10,10,,
11/26/22,Hammer Curl,,2,10,15,,
11/26/22,Hammer Curl,,3,10,20,,
11/27/22,Bodyweight,,,,127.1,,
11/27/22,Pull Up,,1,8,BW,,
11/27/22,Pull Up,,2,5,BW,,
11/27/22,Chin Up,,1,5,BW,,
11/27/22,Dips,,1,10,BW,,
11/27/22,Dips,,2,10,BW,,
11/27/22,Dips,,3,10,BW,,
11/27/22,Dumbbell Shoulder Press,,1,10,35,,
11/27/22,Dumbbell Shoulder Press,,2,10,35,,
11/27/22,Dumbbell Shoulder Press,,3,10,45,,
11/27/22,Dumbbell Shoulder Press,,4,8,45,,
11/27/22,Dumbbell Shoulder Press,,5,10,35,,
11/27/22,Dumbbell Shoulder Press,,6,10,35,,
11/27/22,Dumbbell Shrug,,1,10,35,,
11/27/22,Dumbbell Shrug,,2,10,45,,
11/27/22,Dumbbell Shrug,,3,10,45,,
11/27/22,Dumbbell Shrug,,4,10,35,,
11/27/22,Dumbbell Shrug,,5,10,35,,
11/27/22,Lat Raise,,1,10,15,,
11/27/22,Lat Raise,,2,10,15,,
11/27/22,Lat Raise,,3,10,20,,
11/27/22,Lat Raise,,4,5,20,,
11/27/22,Front Raise,,1,10,15,,
11/27/22,Front Raise,,2,10,15,,
11/27/22,Front Raise,,3,10,20,,
11/27/22,Front Raise,,4,5,20,,
11/27/22,Dumbbell Tricep Press,,1,10,35,,
11/27/22,Dumbbell Tricep Press,,2,10,35,,
11/27/22,Dumbbell Tricep Press,,3,10,35,,
